,Unnamed: 0,OBJECTID,ID,TransferYear,Directory,FactSheetUrl,ZoomLevel,Latitude,Longitude,Name,NameMnemonic,StateCode,PublicWebpageUrl,RegulatoryDriver,MaintenanceCategory,SiteCoordSysWkid,SiteCoordSysWkt,AvailableOnWeb,ShortName,LastUpdated,LastRun,geometry,Unnamed: 0,OBJECTID,ID,TransferYear,Directory,FactSheetUrl,ZoomLevel,Latitude,Longitude,Name,NameMnemonic,StateCode,PublicWebpageUrl,RegulatoryDriver,MaintenanceCategory,SiteCoordSysWkid,SiteCoordSysWkt,AvailableOnWeb,ShortName,LastUpdated,LastRun,geometry,Name,State,historical,rcp26,rcp45,rcp60,rcp85
29,29,30,30,2002,\UT\MonticelloDisposalandProcessing,https://www.lm.doe.gov/Monticello/Factsheet_-_Monticello.pdf,14,37.851103,-109.32521299999999,"Monticello, UT, Disposal and Processing Sites",MNT,UT,https://www.energy.gov/lm/monticello-utah-disposal-and-processing-sites,CERCLA/RCRA,3.0,6627,,Y,Monticello Disposal and Processing Sites,1603926315000,1614899194000,POINT (-12170027.042 4558412.961499996),29,30,30,2002,\UT\MonticelloDisposalandProcessing,https://www.lm.doe.gov/Monticello/Factsheet_-_Monticello.pdf,14,37.851103,-109.32521299999999,"Monticello, UT, Disposal and Processing Sites",MNT,UT,https://www.energy.gov/lm/monticello-utah-disposal-and-processing-sites,CERCLA/RCRA,3.0,6627,,Y,Monticello Disposal and Processing Sites,1603926315000,1614899194000,POINT (-12170027.042 4558412.961499996),MNT,UT,1.0732724226012837,1.1045438935244865,1.1076471378068975,1.0790082271980397,1.1172825822715358
30,30,31,31,1997,\AZ\MonumentValleyProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=819,16,36.931242,-109.86651499999999,"Monument Valley, AZ, Processing Site",MON,AZ,https://www.energy.gov/lm/monument-valley-arizona-processing-site,UMTRCA Title I,2.0,-1,"PROJCS[""AZMON - NAD_1983_2011_StatePlane_Arizona_East_FIPS_0201_Ft"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",699998.6],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-110.1666666666667],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",31.0],UNIT[""Foot_US"",0.3048006096012192]]",Y,Monument Valley Processing Site,1603926315000,1614899465000,POINT (-12230284.505 4429527.1373),30,31,31,1997,\AZ\MonumentValleyProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=819,16,36.931242,-109.86651499999999,"Monument Valley, AZ, Processing Site",MON,AZ,https://www.energy.gov/lm/monument-valley-arizona-processing-site,UMTRCA Title I,2.0,-1,"PROJCS[""AZMON - NAD_1983_2011_StatePlane_Arizona_East_FIPS_0201_Ft"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",699998.6],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-110.1666666666667],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",31.0],UNIT[""Foot_US"",0.3048006096012192]]",Y,Monument Valley Processing Site,1603926315000,1614899465000,POINT (-12230284.505 4429527.1373),MON,AZ,0.4038288335225713,0.4115461844316706,0.4123880733019139,0.39912611795579267,0.4139626381644082
31,31,32,32,1999,\CO\NaturitaDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=981,17,38.360283,-108.75443,"Naturita, CO, Disposal Site",NAD,CO,https://www.energy.gov/lm/naturita-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,26755,,Y,Naturita Disposal Site,1603926315000,1614899145000,POINT (-12106487.7691 4630447.487099998),31,32,32,1999,\CO\NaturitaDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=981,17,38.360283,-108.75443,"Naturita, CO, Disposal Site",NAD,CO,https://www.energy.gov/lm/naturita-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,26755,,Y,Naturita Disposal Site,1603926315000,1614899145000,POINT (-12106487.7691 4630447.487099998),NAD,CO,0.9258969384128639,0.9538400239936426,0.95392483349992,0.9374404593762983,0.9582784807033486
32,32,33,33,1999,\CO\NaturitaProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=981,16,38.239805,-108.611094,"Naturita, CO, Processing Site",NAP,CO,https://www.energy.gov/lm/naturita-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Naturita Processing Site,1603926315000,1614899144000,POINT (-12090531.6786 4613357.824600004),32,33,33,1999,\CO\NaturitaProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=981,16,38.239805,-108.611094,"Naturita, CO, Processing Site",NAP,CO,https://www.energy.gov/lm/naturita-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Naturita Processing Site,1603926315000,1614899144000,POINT (-12090531.6786 4613357.824600004),NAP,CO,0.8897804655394533,0.9150526289770223,0.9149617552696888,0.8983170364425608,0.9188263281411058
33,33,34,34,2004,\FL\PinellasCounty,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1152,16,27.874948,-82.749012,"Pinellas County, FL, Site",PIN,FL,https://www.energy.gov/lm/pinellas-county-florida-site,CERCLA/RCRA,3.0,6318,,Y,Pinellas County Site,1614899113000,1614900621000,POINT (-9211577.8795 3233216.722199999),33,34,34,2004,\FL\PinellasCounty,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1152,16,27.874948,-82.749012,"Pinellas County, FL, Site",PIN,FL,https://www.energy.gov/lm/pinellas-county-florida-site,CERCLA/RCRA,3.0,6318,,Y,Pinellas County Site,1614899113000,1614900621000,POINT (-9211577.8795 3233216.722199999),PIN,FL,3.5867251910531195,3.788011268207288,3.74662835816475,3.72448147632469,3.7205158445353748
34,34,35,35,1998,\OH\PiquaDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1747,18,40.1319,-84.23461999999999,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,https://www.energy.gov/lm/piqua-ohio-decommissioned-reactor-site,D&D,2.0,3735,,Y,Piqua Decommissioned Reactor Site,1603926315000,1614901141000,POINT (-9376955.0056 4885128.181500003),34,35,35,1998,\OH\PiquaDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1747,18,40.1319,-84.23461999999999,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,https://www.energy.gov/lm/piqua-ohio-decommissioned-reactor-site,D&D,2.0,3735,,Y,Piqua Decommissioned Reactor Site,1603926315000,1614901141000,POINT (-9376955.0056 4885128.181500003),PIQ,OH,2.6872290503628653,2.8305518689523255,2.8681300072268177,2.8590049538755187,2.9051767494201295
35,35,36,36,1994,\WV\ParkersburgDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1222,18,39.250115,-81.685817,"Parkersburg, WV, Disposal Site",PKB,WV,https://www.energy.gov/lm/parkersburg-west-virginia-disposal-site,NWPA,2.0,32050,,Y,Parkersburg Disposal Site,1603926315000,1614901105000,POINT (-9093223.5535 4757561.987599999),35,36,36,1994,\WV\ParkersburgDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1222,18,39.250115,-81.685817,"Parkersburg, WV, Disposal Site",PKB,WV,https://www.energy.gov/lm/parkersburg-west-virginia-disposal-site,NWPA,2.0,32050,,Y,Parkersburg Disposal Site,1603926315000,1614901105000,POINT (-9093223.5535 4757561.987599999),PKB,WV,2.7811263203797614,2.936346818364171,2.942225334907639,2.956920351146998,2.9924561105330443
36,36,37,37,2008,\CO\RioBlanco,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1006,15,39.793245,-108.367198,"Rio Blanco, CO, Site",RBL,CO,https://www.energy.gov/lm/rio-blanco-colorado-site,Nevada Offsites,2.0,26753,,Y,Rio Blanco Site,1603926315000,1614901107000,POINT (-12063381.3001 4835942.537100002),36,37,37,2008,\CO\RioBlanco,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1006,15,39.793245,-108.367198,"Rio Blanco, CO, Site",RBL,CO,https://www.energy.gov/lm/rio-blanco-colorado-site,Nevada Offsites,2.0,26753,,Y,Rio Blanco Site,1603926315000,1614901107000,POINT (-12063381.3001 4835942.537100002),RBL,CO,1.1123441394894533,1.1699641829491543,1.1626528721187261,1.1597445412375469,1.175115449501739
37,37,38,38,1998,\CO\RifleDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,15,39.614434,-107.801258,"Rifle, CO, Disposal Site",RFL,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Rifle Disposal Site,1609801515000,1614899666000,POINT (-12000381.1474 4810070.055),37,38,38,1998,\CO\RifleDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,15,39.614434,-107.801258,"Rifle, CO, Disposal Site",RFL,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Rifle Disposal Site,1609801515000,1614899666000,POINT (-12000381.1474 4810070.055),RFL,CO,1.0788506700789315,1.130028007297524,1.1232672263739663,1.1172302224409538,1.1331403073199908
38,38,39,39,1998,\CO\RifleNewProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,16,39.524991,-107.81404199999999,"Rifle New, CO, Processing Site",RFN,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Rifle New Processing Site,1612307114000,1614899657000,POINT (-12001804.2558 4797153.468800001),38,39,39,1998,\CO\RifleNewProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,16,39.524991,-107.81404199999999,"Rifle New, CO, Processing Site",RFN,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Rifle New Processing Site,1612307114000,1614899657000,POINT (-12001804.2558 4797153.468800001),RFN,CO,0.8532486249870479,0.8911768094549188,0.8865344126187413,0.8803181449114531,0.8938583968979111
39,39,40,40,1998,\CO\RifleOldProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,16,39.529478999999995,-107.771654,"Rifle Old, CO, Processing Site",RFO,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Rifle Old Processing Site,1612307114000,1614899665000,POINT (-11997085.6452 4797801.190200001),39,40,40,1998,\CO\RifleOldProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=995,16,39.529478999999995,-107.771654,"Rifle Old, CO, Processing Site",RFO,CO,https://www.energy.gov/lm/rifle-colorado-disposal-site-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Rifle Old Processing Site,1612307114000,1614899665000,POINT (-11997085.6452 4797801.190200001),RFO,CO,0.8447933135097888,0.8823912716329784,0.8777835367738512,0.871671451135084,0.8848225083404921
40,40,41,41,2008,\CO\RockyFlats,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2963,14,39.889868,-105.209222,"Rocky Flats, CO, Site",RFS,CO,https://www.energy.gov/lm/rocky-flats-site-colorado,CERCLA/RCRA,3.0,26754,,Y,Rocky Flats Site,1603926315000,1614899426000,POINT (-11711837.0198 4849951.0801),40,41,41,2008,\CO\RockyFlats,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=2963,14,39.889868,-105.209222,"Rocky Flats, CO, Site",RFS,CO,https://www.energy.gov/lm/rocky-flats-site-colorado,CERCLA/RCRA,3.0,26754,,Y,Rocky Flats Site,1603926315000,1614899426000,POINT (-11711837.0198 4849951.0801),RFS,CO,1.0951932138725948,1.161897566072049,1.1600364316109335,1.1566747422430705,1.15663769206452
41,41,42,42,2008,\CO\Rulison,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1065,16,39.405291999999996,-107.948499,"Rulison, CO, Site",RUL,CO,https://www.energy.gov/lm/rulison-colorado-site,Nevada Offsites,2.0,26754,,Y,Rulison Site,1603926315000,1614901111000,POINT (-12016771.9406 4779893.5722),41,42,42,2008,\CO\Rulison,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1065,16,39.405291999999996,-107.948499,"Rulison, CO, Site",RUL,CO,https://www.energy.gov/lm/rulison-colorado-site,Nevada Offsites,2.0,26754,,Y,Rulison Site,1603926315000,1614901111000,POINT (-12016771.9406 4779893.5722),RUL,CO,1.8575713879727118,1.9491427061052007,1.9409469524497522,1.9326341534790428,1.9646661921061868
42,42,43,43,1991,\WY\RivertonProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1216,16,42.997679,-108.410329,"Riverton, WY, Processing Site",RVT,WY,https://www.energy.gov/lm/riverton-wyoming-processing-site,UMTRCA Title I,2.0,6318,,Y,Riverton Processing Site,1608159914000,1614899139000,POINT (-12068182.621 5311618.573799998),42,43,43,1991,\WY\RivertonProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1216,16,42.997679,-108.410329,"Riverton, WY, Processing Site",RVT,WY,https://www.energy.gov/lm/riverton-wyoming-processing-site,UMTRCA Title I,2.0,6318,,Y,Riverton Processing Site,1608159914000,1614899139000,POINT (-12068182.621 5311618.573799998),RVT,WY,0.558208478173583,0.610858104833011,0.6095412109429394,0.6130751257455329,0.6191648097170556
43,43,44,44,2008,\MS\Salmon,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1325,15,31.142284999999998,-89.570012,"Salmon, MS, Site",SAL,MS,https://www.energy.gov/lm/salmon-mississippi-site,Nevada Offsites,2.0,26794,,Y,Salmon Site,1603926315000,1614901132000,POINT (-9970888.1262 3651241.3781),43,44,44,2008,\MS\Salmon,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1325,15,31.142284999999998,-89.570012,"Salmon, MS, Site",SAL,MS,https://www.energy.gov/lm/salmon-mississippi-site,Nevada Offsites,2.0,26794,,Y,Salmon Site,1603926315000,1614901132000,POINT (-9970888.1262 3651241.3781),SAL,MS,4.239940175466472,4.387127337008194,4.330116758547832,4.284751246566574,4.303352067855736
44,44,45,45,1998,\IL\SiteAPlotMDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1279,16,41.705321000000005,-87.91090799999999,"Site A / Plot M, IL, Decommissioned Reactor Site",SAM,IL,https://www.energy.gov/lm/site-aplot-m-illinois-decommissioned-reactor-site,D&D,2.0,102671,,Y,Site A / Plot M Decommissioned Reactor Site,1603926315000,1614901140000,POINT (-9786197.513699999 5116939.658100002),44,45,45,1998,\IL\SiteAPlotMDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1279,16,41.705321000000005,-87.91090799999999,"Site A / Plot M, IL, Decommissioned Reactor Site",SAM,IL,https://www.energy.gov/lm/site-aplot-m-illinois-decommissioned-reactor-site,D&D,2.0,102671,,Y,Site A / Plot M Decommissioned Reactor Site,1603926315000,1614901140000,POINT (-9786197.513699999 5116939.658100002),SAM,IL,2.5432255605664977,2.675595488758421,2.7117580734332654,2.6758614530526175,2.7505826294803595
45,45,46,46,2005,\WY\ShirleyBasinSouthDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1212,14,42.335322999999995,-106.196273,"Shirley Basin South, WY, Disposal Site",SBS,WY,https://www.energy.gov/lm/shirley-basin-south-wyoming-disposal-site,UMTRCA Title II,2.0,-1,,Y,Shirley Basin South Disposal Site,1614899113000,1614900636000,POINT (-11821715.0345 5211342.304200001),45,46,46,2005,\WY\ShirleyBasinSouthDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1212,14,42.335322999999995,-106.196273,"Shirley Basin South, WY, Disposal Site",SBS,WY,https://www.energy.gov/lm/shirley-basin-south-wyoming-disposal-site,UMTRCA Title II,2.0,-1,,Y,Shirley Basin South Disposal Site,1614899113000,1614900636000,POINT (-11821715.0345 5211342.304200001),SBS,WY,0.8163041176625744,0.8852458088361519,0.8806165891849347,0.8834533795263578,0.8954729353601888
46,46,47,47,2001,\WA\SherwoodDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1226,15,47.876183000000005,-118.10618799999999,"Sherwood, WA, Disposal Site",SHE,WA,https://www.energy.gov/lm/sherwood-washington-disposal-site,UMTRCA Title II,2.0,6318,,Y,Sherwood Disposal Site,1612825516000,1614900637000,POINT (-13147520.7077 6086280.761399999),46,47,47,2001,\WA\SherwoodDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1226,15,47.876183000000005,-118.10618799999999,"Sherwood, WA, Disposal Site",SHE,WA,https://www.energy.gov/lm/sherwood-washington-disposal-site,UMTRCA Title II,2.0,6318,,Y,Sherwood Disposal Site,1612825516000,1614900637000,POINT (-13147520.7077 6086280.761399999),SHE,WA,1.0403533866013146,1.1000483559984515,1.103847590725986,1.1084187136765784,1.1123425799617488
47,47,48,48,2008,\NV\Shoal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1379,14,39.200093,-118.381229,"Shoal, NV, Site",SHL,NV,https://www.energy.gov/lm/shoal-nevada-site,Nevada Offsites,2.0,32009,,Y,Shoal Site,1603926315000,1614900639000,POINT (-13178138.1318 4750373.840400003),47,48,48,2008,\NV\Shoal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1379,14,39.200093,-118.381229,"Shoal, NV, Site",SHL,NV,https://www.energy.gov/lm/shoal-nevada-site,Nevada Offsites,2.0,32009,,Y,Shoal Site,1603926315000,1614900639000,POINT (-13178138.1318 4750373.840400003),SHL,NV,0.5855648581700734,0.6135345089689431,0.596837252190566,0.5981339643516007,0.6113973111680141
48,48,49,49,1996,\NM\ShiprockDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1527,16,36.770014,-108.684297,"Shiprock, NM, Disposal Site",SHP,NM,https://www.energy.gov/lm/shiprock-new-mexico-disposal-site,UMTRCA Title I,3.0,32014,,Y,Shiprock Disposal Site,1603926315000,1614899498000,POINT (-12098680.5993 4407098.004199997),48,49,49,1996,\NM\ShiprockDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1527,16,36.770014,-108.684297,"Shiprock, NM, Disposal Site",SHP,NM,https://www.energy.gov/lm/shiprock-new-mexico-disposal-site,UMTRCA Title I,3.0,32014,,Y,Shiprock Disposal Site,1603926315000,1614899498000,POINT (-12098680.5993 4407098.004199997),SHP,NM,0.4822885013157117,0.49055738811070926,0.48992053199420277,0.47412440776449155,0.4907588306466889
49,49,50,50,1997,\UT\SaltLakeCityDisposal,https://www.lm.doe.gov/Salt_Lake/Fact_Sheet_SLC_Processing_and_Disposal_Sites.pdf,15,40.690666,-113.11143700000001,"Salt Lake City, UT, Disposal Site",SLD,UT,https://www.energy.gov/lm/salt-lake-city-utah-disposal-and-processing-sites,UMTRCA Title I,2.0,32043,,Y,Salt Lake City Disposal Site,1603926315000,1614900634000,POINT (-12591507.5697 4966821.482600003),49,50,50,1997,\UT\SaltLakeCityDisposal,https://www.lm.doe.gov/Salt_Lake/Fact_Sheet_SLC_Processing_and_Disposal_Sites.pdf,15,40.690666,-113.11143700000001,"Salt Lake City, UT, Disposal Site",SLD,UT,https://www.energy.gov/lm/salt-lake-city-utah-disposal-and-processing-sites,UMTRCA Title I,2.0,32043,,Y,Salt Lake City Disposal Site,1603926315000,1614900634000,POINT (-12591507.5697 4966821.482600003),SLD,UT,0.5914969083473157,0.6336841423770703,0.6212822617774865,0.6300685064393582,0.6349952559619542
50,50,51,51,1997,\UT\SaltLakeCityProcessing,https://www.lm.doe.gov/Salt_Lake/Fact_Sheet_SLC_Processing_and_Disposal_Sites.pdf,16,40.702191,-111.91146200000001,"Salt Lake City, UT, Processing Site",SLP,UT,https://www.energy.gov/lm/salt-lake-city-utah-disposal-and-processing-sites,UMTRCA Title I,2.0,32043,,Y,Salt Lake City Processing Site,1603926315000,1614900633000,POINT (-12457926.9638 4968513.647600003),50,51,51,1997,\UT\SaltLakeCityProcessing,https://www.lm.doe.gov/Salt_Lake/Fact_Sheet_SLC_Processing_and_Disposal_Sites.pdf,16,40.702191,-111.91146200000001,"Salt Lake City, UT, Processing Site",SLP,UT,https://www.energy.gov/lm/salt-lake-city-utah-disposal-and-processing-sites,UMTRCA Title I,2.0,32043,,Y,Salt Lake City Processing Site,1603926315000,1614900633000,POINT (-12457926.9638 4968513.647600003),SLP,UT,0.9493179842918055,1.0076811145947742,0.9905746233500318,1.0012808225063905,1.0070526912270308
51,51,52,52,1993,\WY\SpookDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1206,16,43.238852,-105.622524,"Spook, WY, Disposal Site",SPK,WY,https://www.energy.gov/lm/spook-wyoming-disposal-site,UMTRCA Title I,2.0,32055,,Y,Spook Disposal Site,1603926315000,1614900635000,POINT (-11757845.588 5348398.511399999),51,52,52,1993,\WY\SpookDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1206,16,43.238852,-105.622524,"Spook, WY, Disposal Site",SPK,WY,https://www.energy.gov/lm/spook-wyoming-disposal-site,UMTRCA Title I,2.0,32055,,Y,Spook Disposal Site,1603926315000,1614900635000,POINT (-11757845.588 5348398.511399999),SPK,WY,0.7961437957094729,0.8661162100616685,0.8653685781551913,0.8672204573602048,0.8822546847171752
52,52,53,53,1998,\CO\SlickRockDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.054538,-108.864253,"Slick Rock, CO, Disposal Site",SRD,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Slick Rock Disposal Site,1603926315000,1614900651000,POINT (-12118713.2096 4587133.070500001),52,53,53,1998,\CO\SlickRockDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.054538,-108.864253,"Slick Rock, CO, Disposal Site",SRD,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Slick Rock Disposal Site,1603926315000,1614900651000,POINT (-12118713.2096 4587133.070500001),SRD,CO,0.8533759348763071,0.8770672658082479,0.8773940716464688,0.859536805264144,0.8813372575148489
53,53,54,54,1998,\CO\SlickRockEastProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.043158,-108.89452800000001,"Slick Rock East, CO, Processing Site",SRE,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,26755,,Y,Slick Rock East Processing Site,1603926315000,1614900656000,POINT (-12122083.4071 4585524.386100002),53,54,54,1998,\CO\SlickRockEastProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.043158,-108.89452800000001,"Slick Rock East, CO, Processing Site",SRE,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,26755,,Y,Slick Rock East Processing Site,1603926315000,1614900656000,POINT (-12122083.4071 4585524.386100002),SRE,CO,0.8903321419308797,0.9151767690417864,0.9152244944956731,0.8963499725975085,0.9189687351921593
54,54,55,55,1998,\CO\SlickRockWestProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.045815999999995,-108.909424,"Slick Rock West, CO, Processing Site",SRW,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Slick Rock West Processing Site,1603926315000,1614900654000,POINT (-12123741.6223 4585900.100400001),54,55,55,1998,\CO\SlickRockWestProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1100,16,38.045815999999995,-108.909424,"Slick Rock West, CO, Processing Site",SRW,CO,https://www.energy.gov/lm/slick-rock-colorado-disposal-and-processing-sites,UMTRCA Title I,2.0,6318,,Y,Slick Rock West Processing Site,1603926315000,1614900654000,POINT (-12123741.6223 4585900.100400001),SRW,CO,0.9309979442897591,0.9571596301399001,0.9572957914295988,0.9374619321514477,0.961724780253017
55,55,56,56,1996,\AZ\TubaCityDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=849,16,36.145483,-111.13479299999999,"Tuba City, AZ, Disposal Site",TUB,AZ,https://www.energy.gov/lm/tuba-city-arizona-disposal-site,UMTRCA Title I,3.0,26749,,Y,Tuba City Disposal Site,1603926315000,1614899457000,POINT (-12371468.5662 4320658.117700003),55,56,56,1996,\AZ\TubaCityDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=849,16,36.145483,-111.13479299999999,"Tuba City, AZ, Disposal Site",TUB,AZ,https://www.energy.gov/lm/tuba-city-arizona-disposal-site,UMTRCA Title I,3.0,26749,,Y,Tuba City Disposal Site,1603926315000,1614899457000,POINT (-12371468.5662 4320658.117700003),TUB,AZ,0.4595421512687738,0.465706371781554,0.4638468181838107,0.44939723932299225,0.464392150276213
56,56,57,57,2003,\MO\WeldonSpring,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1347,13,38.698168,-90.728274,"Weldon Spring, MO, Site",WEL,MO,https://www.energy.gov/lm/weldon-spring-missouri-site,CERCLA/RCRA,3.0,102696,,Y,Weldon Spring Site,1603926315000,1614899643000,POINT (-10099825.2622 4678528.486100003),56,57,57,2003,\MO\WeldonSpring,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1347,13,38.698168,-90.728274,"Weldon Spring, MO, Site",WEL,MO,https://www.energy.gov/lm/weldon-spring-missouri-site,CERCLA/RCRA,3.0,102696,,Y,Weldon Spring Site,1603926315000,1614899643000,POINT (-10099825.2622 4678528.486100003),WEL,MO,2.6580491870975362,2.7638278669675196,2.794217910025296,2.7455049252045898,2.828359633589416
